WKT,Type,FROM,TO,Freq
"POLYGON ((15.26415 -5.84541,15.11389 -5.85806,15.12778 -5.78222,15.153387 -5.7303,15.15339 -5.7303,15.254202 -5.762032,15.26415 -5.84541))",17.-19. Jh. n. Chr.,1600,1900,7
"POLYGON ((15.297791 -5.586831,14.97555 -4.96551,14.975548 -4.965505,15.297791 -5.586831))",18. Jh. n. Chr.,1700,1800,3
"POLYGON ((15.30496 -5.61193,15.29083 -5.70862,15.26211 -5.85117,13.736739 -5.499553,13.674788 -5.354961,14.85016 -5.173514,15.243793 -5.319253,15.30496 -5.61193))",19.-20. Jh. n. Chr.,1800,2000,20
"POLYGON ((15.264153 -5.845408,15.262114 -5.851171,15.18639 -5.86194,15.14861 -5.83944,15.12333 -5.77056,15.24379 -5.31925,15.297791 -5.586831,15.290833 -5.708617,15.264153 -5.845408))",19. Jh. n. Chr.,1800,1900,11
"POLYGON ((13.81885 -5.462873,13.697832 -5.373675,15.036841 -4.861859,15.135231 -4.872877,13.81885 -5.462873))",20. Jh. n. Chr.,1900,2000,8
"POLYGON ((9.94864 -0.185394,9.342931 0.306929,9.316667 0.916667,9.560187 0.940662,9.94864 -0.185394))",Angondje,1000,1500,10
"POLYGON ((18.632694 3.648189,18.594438 3.710706,18.553721 4.352572,18.644374 4.129969,18.632694 3.648189))",Bangui,1900,2000,4
"POLYGON ((18.523706 2.806193,18.092242 1.665022,18.455022 3.675942,18.638442 4.063908,18.642191 3.407332,18.637255 3.16192,18.523706 2.806193))",Batalimo-Maluba,-200,600,10
"POLYGON ((21.041643 -2.031199,20.97292 -1.991715,20.770047 -1.837602,19.483622 -0.667824,20.293444 -1.00433,21.041643 -2.031199))",Bekongo,1000,1200,8
"POLYGON ((21.253168 -0.305801,20.518223 -0.365373,20.011387 -0.395383,18.905869 -0.268385,18.39671 0.248562,18.536353 0.303572,18.878862 0.378587,21.165035 0.299678,21.253168 -0.305801))",Besongo,1500,1700,22
"POLYGON ((11.422917 2.329389,9.83092 2.377257,9.866944 2.734167,9.903519 2.893551,9.912222 2.930278,9.949644 2.964143,10.021249 2.997909,11.422917 2.329389))",Bissiang/Malongo,-500,-50,7
"POLYGON ((18.042886 1.441145,17.898659 1.089931,18.642191 3.407332,18.523706 2.806193,18.042886 1.441145))",Bobulu,1000,1500,5
"POLYGON ((17.334786 -1.033313,16.873263 -1.117121,16.917098 -1.052349,17.221926 -0.805556,17.334786 -1.033313))",Bobusa,250,700,6
"POLYGON ((23.767789 -1.209968,18.674585 -0.104198,20.735732 0.729053,21.831469 0.087605,23.767789 -1.209968))",Bokone,1700,1900,30
"POLYGON ((17.334786 -1.033313,17.257014 -1.069018,16.932954 -1.045511,16.636105 0.549857,16.987737 0.36855,17.129437 0.201971,17.334786 -1.033313))",Bokonongo,-200,500,8
"POLYGON ((20.97292 -1.991715,18.18601 -0.034788,19.590063 0.429998,19.980082 -0.198392,20.97292 -1.991715))",Bokuma,200,550,13
"POLYGON ((17.945614 0.320338,17.720453 -0.377489,17.898659 1.089931,17.945614 0.320338))",Bokwango,1300,1800,5
"POLYGON ((22.010926 -0.544281,21.552149 -0.442536,21.130587 -0.305301,21.091844 -0.257459,21.239008 -0.232434,22.010926 -0.544281))",Bolombi,1800,1950,7
"POLYGON ((22.307464 -0.616014,22.88476 -0.859054,20.779496 -0.349533,20.878878 -0.278183,21.253168 -0.305801,21.483199 -0.365773,22.307464 -0.616014))",Bolondo,1450,1800,15
"POLYGON ((23.277436 -1.034567,20.378778 -1.354817,16.873263 -1.117121,18.092242 1.665022,21.072951 1.50712,22.342933 0.164537,23.277436 -1.034567))",Bondongo,1000,1400,98
"POLYGON ((20.365413 -1.236344,19.806854 -1.232534,18.313082 0.008471,18.62434 0.311715,19.980082 -0.198392,20.365413 -1.236344))",Bonkake,-250,-50,16
"POLYGON ((22.266458 -0.598314,21.919131 -0.568587,18.968538 -0.309694,19.980082 -0.198392,19.980082 -0.198392,19.980082 -0.198392,19.980082 -0.198392,20.263551 -0.211041,21.253168 -0.305801,22.266458 -0.598314))",Bosanga,1300,1600,17
"POLYGON ((20.770047 -1.837602,16.873263 -1.117121,17.130913 -0.109189,17.898659 1.089931,19.550204 1.269322,19.802942 1.227045,20.012349 1.142068,20.931003 0.554939,20.770047 -1.837602))",Botendo,1700,1920,103
