WKT,name,FROM,TO
"POINT (13.730278 -5.732222)",Mbanza 2,-500,500
"POINT (13.643056 -4.953889)",KKG-10,-500,500
"POINT (13.727778 -5.735)",NDZ-10,30,475
"POINT (13.753889 -5.741389)",NDZ-7,30,475
"POINT (13.735556 -5.756111)",NDZ-15,30,475
"POINT (13.727778 -5.735)",NDZ-10,30,475
"POINT (13.727778 -5.735)",NDZ-10,30,475
"POINT (13.745833 -5.741667)",Nduizi,30,475
"POINT (13.745833 -5.741667)",Nduizi,30,475
"POINT (14.013889 -5.169722)",Sakuzi,30,475
"POINT (14.013889 -5.169722)",Sakuzi,30,475
"POINT (14.013889 -5.169722)",Sakuzi,30,475
"POINT (13.613333 -4.952222)",Kindu,30,475
"POINT (13.745833 -5.741667)",Nduizi,30,475
"POINT (13.727778 -5.735)",NDZ-10,30,475
"POINT (13.730278 -5.732222)",Mbanza 2,30,475
"POINT (14.013889 -5.169722)",Sakuzi,30,475
"POINT (14.007222 -5.154444)",KCS-7,30,475
"POINT (13.745833 -5.741667)",Nduizi,30,475
"POINT (13.735556 -5.773056)",NDZ-14,30,475
"POINT (14.015556 -5.173611)",KCS-8,30,475
"POINT (14.016111 -5.155)",KCS-6,30,475
"POINT (13.62777 -4.95475)",Mantsetsi,30,475
"POINT (14.315278 -5.346111)",KCS-2,1000,2000
"POINT (13.730278 -5.732222)",Mbanza 2,1000,2000
"POINT (12.444167 -5.965556)",Muanda 11,1000,2000
"POINT (13.727778 -5.735)",NDZ-10,1000,2000
"POINT (13.727778 -5.735)",NDZ-10,1000,2000
"POINT (13.726389 -5.734167)",NDZ-11,1000,2000
"POINT (13.746944 -5.743611)",NDZ-5,1000,2000
"POINT (13.735556 -5.773056)",NDZ-14,1000,2000
"POINT (13.745833 -5.741667)",Nduizi,1000,2000
"POINT (13.745833 -5.741667)",Nduizi,1000,2000
"POINT (12.445833 -5.968333)",Muanda 10,1000,2000
"POINT (13.643056 -4.953889)",KKG-10,1000,2000
"POINT (13.729444 -5.74)",NDZ-23,1000,2000
"POINT (14.013889 -5.169722)",Sakuzi,1000,2000
"POINT (13.750833 -5.75)",NDZ-21,1000,2000
"POINT (13.62777 -4.95475)",Mantsetsi,1000,2000
"POINT (14.013889 -5.169722)",Sakuzi,1000,2000
"POINT (12.326389 -5.911389)",Muanda 3,1000,2000
"POINT (13.613333 -4.952222)",Kindu,1000,2000
"POINT (12.445278 -5.969722)",Muanda 13,1000,2000
"POINT (13.753611 -5.729444)",NDZ-3,-420,130
"POINT (13.751389 -5.729444)",NDZ-2,-420,130
"POINT (14.013889 -5.169722)",Sakuzi,-420,130
"POINT (13.75 -5.729167)",NDZ-1,-420,130
"POINT (14.013889 -5.169722)",Sakuzi,-420,130
"POINT (13.730278 -5.732222)",Mbanza 2,-420,130
"POINT (14.013889 -5.169722)",Sakuzi,-420,130
"POINT (14.013889 -5.169722)",Sakuzi,-420,130
