"","sourcedb","labnr","c14age","c14std","sigma","c13val","site","feature","period","culture","material","country","lat","lon","shortref","TO","FROM"
"1","aDRAC","AA-78447",2362,39,2,0,"Mbaere",NA,NA,NA,NA,"CAF",3.988639,16.924447,"Kiahtipes/Lupo et al. 2011",-375,-693
"2","aDRAC","AA-78448",2171,37,2,0,"Mbaere",NA,NA,NA,NA,"CAF",3.988639,16.924447,"Kiahtipes/Lupo et al. 2011",-112,-149
"3","aDRAC","AA-78449",834,35,2,0,"Mbaere",NA,NA,NA,NA,"CAF",3.988639,16.924447,"Kiahtipes/Lupo et al. 2011",1268,1064
"4","aDRAC","AA-94529",215,34,2,0,"Ngotto","BB01-29",NA,NA,NA,"CAF",3.835,17.47,"Lupo et al. 2015; Kiahtipes 2016:81 Tab. 4-1; Lupo et al. 2018: 9 Tab. 2",1950,1690
"5","aDRAC","AA-94530",168,35,2,0,"Ngotto","BB01-30",NA,NA,NA,"CAF",3.835,17.47,"Lupo et al. 2015; Kiahtipes 2016:81 Tab. 4-1; Lupo et al. 2018: 9 Tab. 2",1950,1706
"6","aDRAC","AA-94531",207,35,2,0,"Ngotto","BB01-31",NA,NA,NA,"CAF",3.835,17.47,"Lupo et al. 2015; Kiahtipes 2016:81 Tab. 4-1; Lupo et al. 2018: 9 Tab. 2",1950,1693
"7","aDRAC","AA-94532",148,34,2,0,"Ngotto","BB01-36",NA,NA,NA,"CAF",3.835,17.47,"Lupo et al. 2015; Kiahtipes 2016:81 Tab. 4-1; Lupo et al. 2018: 9 Tab. 2",1950,1711
"8","aDRAC","AA-94533",231,34,2,0,"Ngotto","BB05-32",NA,NA,NA,"CAF",3.835,17.47,"Lupo et al. 2015; Kiahtipes 2016:81 Tab. 4-1; Lupo et al. 2018: 9 Tab. 2",1950,1552
"9","aDRAC","AA-94534",187,34,2,0,"Ngotto","BB05-41",NA,NA,NA,"CAF",3.835,17.47,"Lupo et al. 2015; Kiahtipes 2016:81 Tab. 4-1",1950,1696
"10","aDRAC","AA-94535",412,34,2,0,"Ngotto","LL01",NA,NA,NA,"CAF",3.7628,17.5151,"Lupo et al. 2018: 9 Tab. 2",1624,1521
"11","aDRAC","AA-94536",1938,36,2,0,"Ngotto","ML01",NA,NA,NA,"CAF",3.7382,17.511,"Lupo et al. 2018: 9 Tab. 2",130,-28
"12","aDRAC","AA-94537",160,35,2,0,"Ngotto","ND01-03",NA,NA,NA,"CAF",3.839,17.488,"Lupo et al. 2015; Kiahtipes 2016:81 Tab. 4-1; Lupo et al. 2018: 9 Tab. 2",1950,1707
