"id","name","st_x","st_y"
1958,"Ilambi Moke",24.23044,0.64945
1960,"Engengele",22.67221,2.09385
1096,"Matoto",16.431282,1.281643
1242,"Oyem 2",11.573333,1.566389
1040,"Bokuma",17.478148,0.099491
1058,"Misongo",17.359252,-0.406653
1043,"Bwanela",17.288312,0.505637
1049,"Matoko",17.472723,1.382916
1195,"Koualessis",11.639722,1.385833
1054,"Bongo",17.474487,0.074479
1046,"Botongo",17.096583,0.854494
1116,"Bolondo",21.253168,-0.305801
1056,"Likwala-Esobe km 186",17.406785,-0.048312
1150,"Nsele-Nganda",17.720305,-0.357978
2008,"Vooka Kimbongo 1",15.28828,-5.70206
2010,"Vooka di Mbanza",15.2542,-5.76203
2012,"Ntenda",15.272321,-5.845676
2011,"Kongolo",15.26415,-5.84541
1151,"Zamba",17.884584,0.271798
1134,"Linganda",17.88442,0.807429
1153,"Njuku-Misson",19.411942,5.133947
1114,"Sangha Fkm 359",16.620355,0.758884
1094,"Gatongo",16.129714,1.68776
1152,"Zinga",19.061506,4.84226
1069,"Imbonga",19.788493,-0.821913
1140,"Lokekya",17.682388,-0.212557
1050,"Itanga",17.413073,1.209168
1057,"Likwala-Esobe km 401",17.090295,0.817823
1059,"Mosenge",17.166614,0.66054
1053,"Boenja",17.482715,0.081668
1039,"Bojenjo",17.432057,-0.006791
1063,"Yumba",17.366567,-0.351703
1048,"Ilebo",17.43441,-0.454365
1042,"Botwale",17.365479,-0.552494
1041,"Boleko",17.221926,-0.805556
1077,"Bokele",18.59212,-0.099389
1067,"Boso-Njafo",19.209599,1.130547
1037,"Batalimo",18.455022,3.675942
1070,"Bonga",15.67283,1.925175
1073,"Ngwangala",15.72812,1.911856
1071,"Mbenja",15.825282,1.852351
1074,"Pandama",15.881677,1.783279
1110,"Mai impembe",16.087011,2.087501
1093,"Gbagbale",16.082956,2.076599
1095,"Maboko",16.135199,1.731363
1111,"Ouesso",16.057202,1.617344
1113,"Sangha Fkm 428",16.443523,1.250183
1097,"Mandombe",16.5227,1.116917
1107,"Mosanya",16.447391,1.213
1099,"Itandi",16.590471,0.697639
1089,"Inyenge",17.10747,0.196574
1090,"Loboko",17.130913,-0.109189
1091,"Likaya",17.134665,-0.343552
1101,"Mobaka",17.134569,-0.366609
1100,"Monjolomba",17.174576,-0.684421
1108,"Sangha Fkm 72",17.197602,-0.69929
1115,"Sosolo",17.128605,-0.892241
1034,"Gombe",17.580406,-0.704069
1064,"Ilawa",18.690466,3.004896
1136,"Kouango",19.976358,4.990322
1126,"Boduna",19.741706,5.1083
1130,"Dokeve 2",19.523072,5.13121
1129,"Dama 1",19.417146,5.114828
1142,"Mboko 1",18.69029,4.367518
1117,"Bangui",18.553721,4.352572
1121,"Balongoi",18.644374,4.129969
1145,"Mokelo",18.638442,4.063908
1144,"Mboma",18.648525,3.947071
1123,"Bomboko",18.594426,3.912055
1141,"Maoko",18.642191,3.407332
1149,"Nzambi",18.637255,3.16192
1131,"Dongo",18.404747,2.72187
1124,"Bousoka-Mangombe",18.072635,1.871467
1119,"Bobulu",18.042886,1.441145
1133,"Ebeka",18.031148,1.429335
1122,"Bolumbu",17.882294,0.677829
1135,"Ilanga",17.897891,0.284087
1120,"Bokwango",17.7805,0.102769
1125,"Bobangi",17.722248,-0.108898
1241,"Oyem 1",11.573333,1.593056
1204,"Lopé 2",11.5875,-0.218056
1068,"Baringa",20.735732,0.729053
1072,"Ngama",15.550034,1.957609
1098,"Mitula",17.046761,0.291662
1081,"Bobusa",16.917098,-1.052349
1160,"Sungu",17.334786,-1.033313
1159,"Maberu",17.257014,-1.069018
1158,"Lukolela",17.175593,-1.062185
1154,"Ndengu",19.83953,5.103759
1138,"Libenge",18.632694,3.648189
1167,"Campo",9.83092,2.377257
1163,"Abang Minko'o",11.422917,2.329389
2014,"Kitsumbu",15.26211,-5.85117
1166,"Bwambe-Sommet (Est)",9.903519,2.893551
1171,"Avoh",11.239167,4.273528
1105,"Ngombe",16.987737,0.36855
1078,"Bokuma",18.69836,-0.113897
1161,"Ikengo",18.13318,-0.125879
1311,"Mbandaka",18.256488,0.060277
1170,"Abeke",10.158333,5.925278
1168,"Mouanko-Lobethal",9.781966,3.641726
1164,"Akonetye",11.174669,2.4755
1104,"Bondo-Mission",17.166283,-0.400786
2407,"CA2",17.503539,3.774482
1207,"Maboue 1",11.526111,-0.143611
1222,"Ngovo",14.923611,-5.308333
1309,"Irebu",17.768087,-0.605136
1303,"Bondongo-Losombo",18.7,-0.98333
1305,"Bikoro",18.126623,-0.736957
1310,"Inganda",18.210484,-0.015508
1308,"Botunu",17.702895,-0.641539
1065,"Maluba",18.523706,2.806193
2408,"CA3",17.505127,3.773112
2496,"Dinga",16.575947,-5.313786
1635,"Okolo",11.516667,3.933333
2501,"Limbumba",16.864062,3.656911
1173,"Benguie 7",11.384366,0.28824
1137,"Kpetene",19.071738,4.899383
2409,"LE1",17.514525,3.762064
2497,"Katongo",26.409524,-8.212281
1206,"Lycee Leon Mba",9.425278,0.427222
1214,"Mouila 1",11.166667,-1.5
